hotelMarsha,propertyName,city__state,localNumber,complexNumber,segmentNumber,largeGroupNumber
SEARD,Residence Inn Seattle East/Redmond,redmond__wa,14254979226,8665846878,8665961984,
SEASR,SpringHill Suites Seattle South/Renton,renton__wa,14252264100,8665865098,8666124015,
SEATR,TownePlace Suites Seattle South/Renton,renton__wa,14259172000,8665902553,8663991821,
SEASI,Sheraton Seattle Hotel,seattle__wa,2066219000,,,
SEAWH,W Seattle,seattle__wa,2062646000,,,
SEAWI,The Westin Seattle,seattle__wa,2067281000,,,
SEAPS,Courtyard Seattle Downtown/Pioneer Square,seattle__wa,12066251111,8666100241,8665952468,
SEACD,Courtyard Seattle Downtown/Lake Union,seattle__wa,12062130100,8665828553,8663991707,
SEAWF,Seattle Marriott Waterfront,seattle__wa,12064435000,8665987258,8669404445,8667806077
SEASC,Courtyard Seattle Southcenter,tukwila__wa,12065752500,8665860046,8665758502,
GEGCH,Courtyard Spokane Downtown at the Convention Center,spokane__wa,15094567600,8665758503,8665774320,
WASXW,The Westin Alexandria,alexandria__va,7032538600,,,
CHIWC,W Chicago - City Center,chicago__il,3123321200,,,
CHIWH,W Chicago - Lakeshore,chicago__il,3129439200,,,
OAKPH,Residence Inn Pleasant Hill Concord,concord__ca,19256891010,8665381985,8443129173,
DENAP,Courtyard Denver Airport,denver__co,13033710300,8665919986,8669404448,
OAKMV,Courtyard Oakland Emeryville,emeryville__ca,15106528777,8665381983,8443129140,
MCICA,Courtyard Kansas City Airport,kansas_city__mo,,8664793407,8663982022,
PHXME,Courtyard Phoenix Mesa,mesa__az,4804613000,8662601417,8663243559,
OAKDT,Oakland Marriott City Center,oakland__ca,15104514000,8666132898,8665987317,8666214276
OAKPL,Courtyard Pleasanton,pleasanton__ca,19254631414,8665381986,8443129174,
OAKRM,Courtyard San Ramon,san_ramon__ca,19258662900,8665381988,8443129175,
OAKRS,Residence Inn San Ramon,san_ramon__ca,19252779292,8663991053,8443129177,
OAKSR,San Ramon Marriott,san_ramon__ca,19258679200,8663991664,8663991889,8667780543
